Date,symbol,name,open,high,low,close,volume,vix,rsi,ma5,ma20,earnings_dday
2025-07-11,AAPL,애플,209.931172276849,211.48643705736623,209.2233196075129,210.51937866210938,39765800,16.399999618530273,71.72794199475513,210.29405212402344,203.69912643432616,0
2025-07-14,AAPL,애플,209.29309904361602,210.27013683517245,206.91035052542594,207.98707580566406,38840100,17.200000762939453,64.004696319711,210.02886047363282,204.16869735717773,0
2025-07-15,AAPL,애플,208.5852528191871,211.24715053377864,208.28615994072268,208.4755859375,42296300,17.3799991607666,67.82676828833962,209.8494079589844,204.79977722167968,0
2025-07-16,AAPL,애플,209.6619745482938,211.75559423754484,208.00700716596054,209.52239990234375,47490500,17.15999984741211,67.55097412921214,209.65400390625,205.3849952697754,0
2025-07-17,AAPL,애플,209.93117746335784,211.1574416148312,208.95413964633332,209.38284301757812,48068100,16.520000457763672,68.72924770548903,209.17745666503907,206.10181427001953,0
2025-07-18,AAPL,애플,210.23023432823226,211.1474413046512,209.06378582955284,210.53929138183594,48974600,16.40999984741211,70.07151364878987,209.1814392089844,206.82959899902343,0
2025-07-21,AAPL,애플,211.45652088357517,215.12534891613055,210.98794558852114,211.83535766601562,51377400,16.649999618530273,66.33882779872906,209.9510955810547,207.4018569946289,0
2025-07-22,AAPL,애플,212.49335516085276,214.29786137817433,211.58611235366487,213.74952697753906,46404100,16.5,65.20328595829253,211.0058837890625,208.04489974975587,0
2025-07-23,AAPL,애플,214.3477172095632,214.4972560435483,211.76557859278188,213.5002899169922,46989300,15.369999885559082,54.950720995133686,211.80146179199218,208.73529891967775,0
2025-07-24,AAPL,애플,213.25105536667797,215.03563331063384,212.8821827557749,213.11148071289062,46022600,15.390000343322754,50.634405101874734,212.54718933105468,209.34344787597655,0
2025-07-25,AAPL,애플,214.04862920984866,214.58699944946258,212.7525701732737,213.2311248779297,40268800,14.930000305175781,65.03453347604204,213.08555603027344,209.98549423217773,0
2025-07-28,AAPL,애플,213.3806606658472,214.19818019857897,212.41360229785764,213.40060424804688,37858000,15.029999732971191,65.32635189823733,213.3986053466797,210.63202667236328,0
2025-07-29,AAPL,애플,213.53020352524888,214.1582970701604,210.18041185237743,210.62904357910156,51411700,15.979999542236328,50.438362469773885,212.77450866699218,210.93610153198242,0
2025-07-30,AAPL,애플,211.25711581327238,211.74563469104578,207.0898047125579,208.415771484375,45512500,15.479999542236328,39.35357030970392,211.75760498046876,210.99741439819337,0
2025-07-31,AAPL,애플,207.85746883247032,209.2033639475293,206.5315020865265,206.9402618408203,80698400,16.719999313354492,38.788197448484524,210.5233612060547,210.75465240478516,0
2025-08-01,AAPL,애플,210.23025491744008,212.93203997684435,200.88868661623732,201.76602172851562,104434500,20.3799991607666,33.27971836970046,208.23034057617187,210.19784698486328,0
2025-08-04,AAPL,애플,203.8895472057539,207.24933356384108,201.06813110178,202.7330780029297,75109300,17.520000457763672,34.952968656166206,206.09683532714843,209.8688491821289,0
2025-08-05,AAPL,애플,202.78292184745098,204.71703873665678,201.5466934780596,202.30438232421875,44155100,17.850000381469727,30.45353872599253,204.43190307617186,209.51542587280272,0
2025-08-06,AAPL,애플,205.00615029681612,214.72657006985978,204.96626313259566,212.60302734375,108483100,16.770000457763672,55.625201911051455,205.26935424804688,209.62060623168946,0
2025-08-07,AAPL,애플,218.21596748517925,220.1799921230299,215.92294217468134,219.3624725341797,90224800,16.56999969482422,62.8896525404989,207.75379638671876,210.0004508972168,0
2025-08-08,AAPL,애플,220.16004899168945,230.29919347638386,218.58484056145957,228.65420532226562,113854000,15.149999618530273,69.91739873973086,213.13143310546874,210.9071922302246,0
2025-08-11,AAPL,애플,227.4864157407103,229.12329528601256,224.3324234952035,226.74781799316406,61806100,16.25,65.39581524501196,217.93438110351562,211.8452293395996,0
2025-08-12,AAPL,애플,227.57622481823222,230.36092560837628,226.63802588155738,229.21310424804688,55626200,14.729999542236328,67.68275699588116,223.31612548828124,212.88210525512696,0
2025-08-13,AAPL,애플,230.6304284784954,234.55294488479396,229.99163136972763,232.88612365722656,69878500,14.489999771118164,70.72206660541487,227.37274475097655,214.0502914428711,0
2025-08-14,AAPL,애플,233.61473725595164,234.67271834509882,230.41085227691244,232.33717346191406,51916300,14.829999923706055,69.84290286448874,229.96768493652343,215.1980079650879,0
2025-08-15,AAPL,애플,233.5548328767578,233.834298979768,228.9036945156081,231.1494140625,56038700,15.09000015258789,68.05151198751525,230.46672668457032,216.2285140991211,0
2025-08-18,AAPL,애플,231.2592012143754,232.67649791960375,229.6722297518056,230.45074462890625,37476200,14.989999771118164,71.04720896253178,231.20731201171876,217.15928344726564,0
2025-08-19,AAPL,애플,230.84001516813981,232.42698672077375,228.9136940815642,230.1213836669922,39402600,15.569999694824219,74.0081058848508,231.38896789550782,217.97787628173828,0
2025-08-20,AAPL,애플,229.54248102593337,230.0315543310328,225.3404986724704,225.5800323486328,42263900,15.6899995803833,69.30758137761731,229.92774963378906,218.5818634033203,0
2025-08-21,AAPL,애플,225.8395414786139,226.08906587116957,223.3542730460458,224.47213745117188,30621200,16.600000381469727,75.68317932184317,228.35474243164063,219.14989624023437,0
2025-08-22,AAPL,애플,225.73973438952316,228.65417758009713,224.98118568943215,227.3267059326172,42477800,14.220000267028809,76.67898181529264,227.59020080566407,219.85467529296875,0
2025-08-25,AAPL,애플,226.0491451945495,228.86378779922748,225.79962078901826,226.7278594970703,30983100,14.789999961853027,76.3969574720935,226.8456237792969,220.52103805541992,0
2025-08-26,AAPL,애플,226.43840339540802,229.0534295301293,224.26255788237486,228.87376403808594,54575100,14.619999885559082,71.34753113384741,226.59609985351562,221.43327407836915,0
2025-08-27,AAPL,애플,228.17510050695543,230.46073738560713,227.82576024347395,230.05152893066406,31259500,14.850000381469727,66.43080101439118,227.4903991699219,222.5150619506836,0
2025-08-28,AAPL,애플,230.3809040856524,232.9659733126178,228.90370861616245,232.11758422851562,38074700,14.430000305175781,56.8441303115464,229.0194885253906,223.77392807006837,0
2025-08-29,AAPL,애플,232.0676707602769,232.9360260407387,230.92984008944924,231.69837951660156,39418400,15.359999656677246,60.39394739337587,229.8938232421875,225.27054595947266,0
2025-09-02,AAPL,애플,228.81388239599917,230.4108447009183,226.53822101083426,229.28298950195312,44075600,17.170000076293945,50.147035595455634,230.40484924316405,226.59804153442383,0
2025-09-03,AAPL,애플,236.75874463665696,238.395624134605,233.9141603097862,238.01634216308594,66427800,16.350000381469727,58.89888199546869,232.23336486816407,228.38363952636718,0
